"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,9.80549188267511,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-24.1206360251698,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,10.8840248014415,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,16.9597554500202,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,-5.71233483831467,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,4.65546681368854,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.14336020402149,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-14.5358935833135,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.479619991440684,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,11.3366084479099,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,9.43943471993726,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,-3.62822985933145,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-5.36861577313894,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,19.5540822600136,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,11.9405074452038,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-21.8522418073214,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,10.5374772146085,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,20.6608430062448,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,-5.99093033970182,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.95433613043472,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.429843381161627,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-14.4029336423761,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.13138311030458,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,11.9540567088909,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,9.95664046799088,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,-5.01308917032921,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-6.56956244023732,,
"XTIMVA01","Imports in goods, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,26.8329865457797,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,-28.0600002866712,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-36.805877942242,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,20.5454056280951,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,0.865559318014589,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,-13.3895509848461,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,12.7105737986316,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-1.15779622042756,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.868395993589598,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-3.04261526369776,,
